state,individualratio,smallgroupratio,individualtransfers,smallgrouptransfers,individualmm,smallgroupmm,PLRSindividual2015,PLRSsmallgroup2015,PLRSindividual2016,PLRSsmallgroup2016
AK,75.90582905,17.85648135,24716911.49,5813498.92,325626,325568,1.575311319,1.178032546,1.470561942,1.122278349
AL,9.419527163,1.369722228,26984194.82,3882891.31,2864708,2834802,1.909180782,1.579626541,2.009259161,1.573860651
AR,7.627275905,2.525940343,30195874.28,3852172.69,3958933,1525045,2.075040806,1.436552829,2.051507958,1.367361629
AZ,35.49877478,13.73721867,137427755.7,29347438.42,3871338,2136345,1.58389833,1.245774007,1.518572158,1.22052109
CA,23.28087231,16.0037171,628633885.5,327333099.9,27002162,20453567,1.34369176,1.15484294,1.354744514,1.159441138
CO,29.50115548,7.679823761,98259941.08,19113875.61,3330715,2488843,1.369006861,1.072549179,1.262386044,1.087258241
CT,34.90164113,28.9389421,71536742.07,61008064.87,2049667,2108165,1.515847409,1.329606327,1.543918785,1.336831723
DC,30.55615243,28.98759678,7021162.15,31090559.96,229779,1072547,1.359450141,1.373163084,1.547271286,1.348042119
DE,125.635002,42.36222954,5641262.86,4794387.69,44902,113176,1.785321113,1.46132037,1.751087117,1.36495944
FL,57.8408195,6.300090558,1177008909,50019972.19,20349105,7939564,1.698755175,1.407137559,1.738146307,1.38314708
GA,28.26587761,5.867562979,204697669.8,27926448.9,7241865,4759463,1.613213821,1.281,1.594635976,1.273803352
HI,57.77557992,10.24610049,30934201,15970812,535420,1558721,1.756269809,1.519187681,1.907874541,1.535462172
IA,14.95560156,5.953073879,34340887.8,11010364.92,2296189,1849526,1.587335395,1.283233091,1.710576399,1.29625582
ID,13.68342277,5.983248332,23193278.45,5556816.24,1694991,928729,1.538849906,1.165308369,1.500791127,1.146056088
IL,8.772544386,5.952760643,67848191.71,36918104.78,7734152,6201846,1.603369086,1.43537426,1.553071795,1.39007443
IN,39.38381301,6.345353335,110276724.4,20335899.29,2800052,3204849,1.728384693,1.365604713,1.666687718,1.306517696
KS,30.25908706,3.687116882,64390399.24,6767161.03,2127969,1835353,1.680885569,1.340774709,1.653150943,1.336630833
KY,7.956822107,5.535333961,15442711.74,8816054.44,1940814,1592687,1.79846324,1.433582247,1.7294429,1.381773911
LA,42.98443743,4.975111886,135958013.2,15701517.79,3162959,3156013,1.815883287,1.405948886,1.803326485,1.407177931
MD,23.03993339,22.24463832,77453321.05,69193971.76,3361699,3110591,1.547025088,1.351991625,1.567821448,1.330022049
ME,8.53990932,12.94286853,8248928.99,9955770.96,965927,769209,1.536783606,1.099172866,1.504806836,1.104958778
MI,38.09882296,5.419025453,198376494.6,30145464.18,5206893,5562894,1.674187692,1.425022789,1.648382934,1.40001088
MN,23.8868146,15.49965919,88870630.95,51094812.53,3720489,3296512,1.412514392,1.22916455,1.381849638,1.187133113
MO,16.37928984,5.769345807,70040021.81,16864178.57,4276133,2923066,1.734168665,1.491648618,1.730647055,1.436908971
MS,21.41388658,1.013985454,30810107.29,1041204.88,1438791,1026844,1.78630081,1.241601177,1.918944085,1.274254132
